Trade Date,Index,Trade Start,Trade End,Delivery Start,Delivery End,Index Price,Price Currency,Duration,Traded Volume,Total Traded Volume,Traded Volume Unit,Alternate Volume,Total Alternate Volume,Trades In Index,Last Update Time,Component Type,Settle State
2015-01-01,ICE NGX AB-NIT Month Ahead Index (7A),2014-12-01,2014-12-31 23:59:59,2015-01-01,2015-01-31,3.1896,CAD,31,68854100,2221100,GJ,,,624,2015-01-01 02:15:20,Index,Settled
2015-02-01,ICE NGX AB-NIT Month Ahead Index (7A),2015-01-01,2015-01-31 23:59:59,2015-02-01,2015-02-28,2.6044,CAD,28,73001600,2607200,GJ,,,758,2015-02-01 02:15:03,Index,Settled
2015-03-01,ICE NGX AB-NIT Month Ahead Index (7A),2015-02-01,2015-02-28 23:59:59,2015-03-01,2015-03-31,2.5915,CAD,31,70543600,2275600,GJ,,,686,2015-03-01 02:15:04,Index,Settled
2015-04-01,ICE NGX AB-NIT Month Ahead Index (7A),2015-03-01,2015-03-31 23:59:59,2015-04-01,2015-04-30,2.5435,CAD,30,63489000,2116300,GJ,,,605,2015-04-01 02:15:13,Index,Settled
2015-05-01,ICE NGX AB-NIT Month Ahead Index (7A),2015-04-01,2015-04-30 23:59:59,2015-05-01,2015-05-31,2.4205,CAD,31,64709400,2087400,GJ,,,560,2015-05-01 02:15:12,Index,Settled
2015-06-01,ICE NGX AB-NIT Month Ahead Index (7A),2015-05-01,2015-05-31 23:59:59,2015-06-01,2015-06-30,2.6293,CAD,30,72759000,2425300,GJ,,,666,2015-06-01 02:15:08,Index,Settled
2015-07-01,ICE NGX AB-NIT Month Ahead Index (7A),2015-06-01,2015-06-30 23:59:59,2015-07-01,2015-07-31,2.4528,CAD,31,57684800,1860800,GJ,,,591,2015-07-01 02:15:18,Index,Settled
2015-08-01,ICE NGX AB-NIT Month Ahead Index (7A),2015-07-01,2015-07-31 23:59:59,2015-08-01,2015-08-31,2.7107,CAD,31,46459700,1498700,GJ,,,525,2015-08-01 02:15:05,Index,Settled
2015-09-01,ICE NGX AB-NIT Month Ahead Index (7A),2015-08-01,2015-08-31 23:59:59,2015-09-01,2015-09-30,2.7905,CAD,30,63780000,2126000,GJ,,,554,2015-09-01 02:15:19,Index,Settled
2015-10-01,ICE NGX AB-NIT Month Ahead Index (7A),2015-09-01,2015-09-30 23:59:59,2015-10-01,2015-10-31,2.6994,CAD,31,56339400,1817400,GJ,,,620,2015-10-01 02:15:17,Index,Settled
2015-11-01,ICE NGX AB-NIT Month Ahead Index (7A),2015-10-01,2015-10-31 23:59:59,2015-11-01,2015-11-30,2.4394,CAD,30,56004000,1866800,GJ,,,612,2015-11-01 02:15:01,Index,Settled
2015-12-01,ICE NGX AB-NIT Month Ahead Index (7A),2015-11-01,2015-11-30 23:59:59,2015-12-01,2015-12-31,2.3911,CAD,31,70410300,2271300,GJ,,,804,2015-12-01 02:15:15,Index,Settled
2016-01-01,ICE NGX AB-NIT Month Ahead Index (7A),2015-12-01,2015-12-31 23:59:59,2016-01-01,2016-01-31,2.1963,CAD,31,55756600,1798600,GJ,,,570,2016-01-01 02:15:05,Index,Settled
2016-02-01,ICE NGX AB-NIT Month Ahead Index (7A),2016-01-01,2016-01-31 23:59:59,2016-02-01,2016-02-29,2.2284,CAD,29,64382900,2220100,GJ,,,666,2016-02-01 02:15:11,Index,Settled
2016-03-01,ICE NGX AB-NIT Month Ahead Index (7A),2016-02-01,2016-02-29 23:59:59,2016-03-01,2016-03-31,1.5761,CAD,31,91326000,2946000,GJ,,,706,2016-03-01 02:15:28,Index,Settled
2016-04-01,ICE NGX AB-NIT Month Ahead Index (7A),2016-03-01,2016-03-31 23:59:59,2016-04-01,2016-04-30,1.2244,CAD,30,98958000,3298600,GJ,,,905,2016-04-01 02:15:17,Index,Settled
2016-05-01,ICE NGX AB-NIT Month Ahead Index (7A),2016-04-01,2016-04-30 23:59:59,2016-05-01,2016-05-31,1.0412,CAD,31,83368300,2689300,GJ,,,744,2016-05-01 02:15:04,Index,Settled
2016-06-01,ICE NGX AB-NIT Month Ahead Index (7A),2016-05-01,2016-05-31 23:59:59,2016-06-01,2016-06-30,1.2809,CAD,30,87468000,2915600,GJ,,,892,2016-06-01 02:15:28,Index,Settled
2016-07-01,ICE NGX AB-NIT Month Ahead Index (7A),2016-06-01,2016-06-30 23:59:59,2016-07-01,2016-07-31,1.8475,CAD,31,73727300,2378300,GJ,,,776,2016-07-07 09:31:18,Index,Settled
2016-08-01,ICE NGX AB-NIT Month Ahead Index (7A),2016-07-01,2016-07-31 23:59:59,2016-08-01,2016-08-31,2.1947,CAD,31,57247700,1846700,GJ,,,576,2016-08-01 02:15:02,Index,Settled
2016-09-01,ICE NGX AB-NIT Month Ahead Index (7A),2016-08-01,2016-08-31 23:59:59,2016-09-01,2016-09-30,2.2152,CAD,30,57933000,1931100,GJ,,,572,2016-09-01 02:15:28,Index,Settled
2016-10-01,ICE NGX AB-NIT Month Ahead Index (7A),2016-09-01,2016-09-30 23:59:59,2016-10-01,2016-10-31,2.4676,CAD,31,42733500,1378500,GJ,,,534,2016-10-01 02:15:08,Index,Settled
2016-11-01,ICE NGX AB-NIT Month Ahead Index (7A),2016-10-01,2016-10-31 23:59:59,2016-11-01,2016-11-30,2.8392,CAD,30,59574000,1985800,GJ,,,679,2016-11-01 02:15:31,Index,Settled
2016-12-01,ICE NGX AB-NIT Month Ahead Index (7A),2016-11-01,2016-11-30 23:59:59,2016-12-01,2016-12-31,2.6966,CAD,31,41884100,1351100,GJ,,,475,2017-01-03 18:17:50,Index,Settled
2017-01-01,ICE NGX AB-NIT Month Ahead Index (7A),2016-12-01,2016-12-31 23:59:59,2017-01-01,2017-01-31,3.3268,CAD,31,53090600,1712600,GJ,,,634,2017-01-04 07:52:43,Index,Settled
2017-02-01,ICE NGX AB-NIT Month Ahead Index (7A),2017-01-01,2017-01-31 23:59:59,2017-02-01,2017-02-28,2.7047,CAD,28,38553200,1376900,GJ,,,466,2017-02-01 02:15:36,Index,Settled
2017-03-01,ICE NGX AB-NIT Month Ahead Index (7A),2017-02-01,2017-02-28 23:59:59,2017-03-01,2017-03-31,2.3349,CAD,31,34053500,1098500,GJ,,,322,2017-03-01 02:15:32,Index,Settled
2017-04-01,ICE NGX AB-NIT Month Ahead Index (7A),2017-03-01,2017-03-31 23:59:59,2017-04-01,2017-04-30,2.4646,CAD,30,37989000,1266300,GJ,,,450,2017-04-01 02:15:21,Index,Settled
2017-05-01,ICE NGX AB-NIT Month Ahead Index (7A),2017-04-01,2017-04-30 23:59:59,2017-05-01,2017-05-31,2.6168,CAD,31,48480900,1563900,GJ,,,468,2017-05-01 02:15:30,Index,Settled
2017-06-01,ICE NGX AB-NIT Month Ahead Index (7A),2017-05-01,2017-05-31 23:59:59,2017-06-01,2017-06-30,2.805,CAD,30,42453000,1415100,GJ,,,450,2017-06-01 02:15:41,Index,Settled
2017-07-01,ICE NGX AB-NIT Month Ahead Index (7A),2017-06-01,2017-06-30 23:59:59,2017-07-01,2017-07-31,2.3029,CAD,31,62269700,2008700,GJ,,,648,2017-07-05 14:44:12,Index,Settled
2017-08-01,ICE NGX AB-NIT Month Ahead Index (7A),2017-07-01,2017-07-31 23:59:59,2017-08-01,2017-08-31,2.032,CAD,31,58425700,1884700,GJ,,,478,2017-08-01 02:16:11,Index,Settled
2017-09-01,ICE NGX AB-NIT Month Ahead Index (7A),2017-08-01,2017-08-31 23:59:59,2017-09-01,2017-09-30,1.4604,CAD,30,62445000,2081500,GJ,,,586,2017-09-01 02:16:03,Index,Settled
2017-10-01,ICE NGX AB-NIT Month Ahead Index (7A),2017-09-01,2017-09-30 23:59:59,2017-10-01,2017-10-31,1.485,CAD,31,82227500,2652500,GJ,,,743,2017-10-01 02:15:17,Index,Settled
2017-11-01,ICE NGX AB-NIT Month Ahead Index (7A),2017-10-01,2017-10-31 23:59:59,2017-11-01,2017-11-30,2.0418,CAD,30,49593000,1653100,GJ,,,492,2017-11-01 02:16:10,Index,Settled
2017-12-01,ICE NGX AB-NIT Month Ahead Index (7A),2017-11-01,2017-11-30 23:59:59,2017-12-01,2017-12-31,2.0365,CAD,31,61727200,1991200,GJ,,,760,2017-12-01 02:16:02,Index,Settled
2018-01-01,ICE NGX AB-NIT Month Ahead Index (7A),2017-12-01,2017-12-31 23:59:59,2018-01-01,2018-01-31,1.8284,CAD,31,50368800,1624800,GJ,,,639,2018-01-01 02:15:12,Index,Settled
2018-02-01,ICE NGX AB-NIT Month Ahead Index (7A),2018-01-01,2018-01-31 23:59:59,2018-02-01,2018-02-28,1.9199,CAD,28,59771600,2134700,GJ,,,850,2018-02-01 02:16:09,Index,Settled
2018-03-01,ICE NGX AB-NIT Month Ahead Index (7A),2018-02-01,2018-02-28 23:59:59,2018-03-01,2018-03-31,1.5186,CAD,31,49308600,1590600,GJ,,,504,2018-03-01 02:16:03,Index,Settled
2018-04-01,ICE NGX AB-NIT Month Ahead Index (7A),2018-03-01,2018-03-31 23:59:59,2018-04-01,2018-04-30,1.439,CAD,30,44781000,1492700,GJ,,,464,2018-04-01 02:15:22,Index,Settled
2018-05-01,ICE NGX AB-NIT Month Ahead Index (7A),2018-04-01,2018-04-30 23:59:59,2018-05-01,2018-05-31,0.7404,CAD,31,38006000,1226000,GJ,,,356,2018-05-01 02:15:33,Index,Settled
2018-06-01,ICE NGX AB-NIT Month Ahead Index (7A),2018-05-01,2018-05-31 23:59:59,2018-06-01,2018-06-30,0.7438,CAD,30,48354000,1611800,GJ,,,489,2018-06-01 02:15:37,Index,Settled
2018-07-01,ICE NGX AB-NIT Month Ahead Index (7A),2018-06-01,2018-06-30 23:59:59,2018-07-01,2018-07-31,1.4526,CAD,31,44838400,1446400,GJ,,,387,2018-07-03 15:19:28,Index,Settled
2018-08-01,ICE NGX AB-NIT Month Ahead Index (7A),2018-07-01,2018-07-31 23:59:59,2018-08-01,2018-08-31,1.3184,CAD,31,28870300,931300,GJ,,,291,2018-08-01 02:15:36,Index,Settled
2018-09-01,ICE NGX AB-NIT Month Ahead Index (7A),2018-08-01,2018-08-31 23:59:59,2018-09-01,2018-09-30,1.065,CAD,30,28959000,965300,GJ,,,292,2018-09-01 02:15:25,Index,Settled
2018-10-01,ICE NGX AB-NIT Month Ahead Index (7A),2018-09-01,2018-09-30 23:59:59,2018-10-01,2018-10-31,1.354,CAD,31,33610200,1084200,GJ,,,305,2018-10-01 02:15:55,Index,Settled
2018-11-01,ICE NGX AB-NIT Month Ahead Index (7A),2018-10-01,2018-10-31 23:59:59,2018-11-01,2018-11-30,1.8971,CAD,30,37779000,1259300,GJ,,,423,2018-11-01 02:26:07,Index,Settled
2018-12-01,ICE NGX AB-NIT Month Ahead Index (7A),2018-11-01,2018-11-30 23:59:59,2018-12-01,2018-12-31,2.1469,CAD,31,50086700,1615700,GJ,,,589,2018-12-01 02:15:25,Index,Settled
2019-01-01,ICE NGX AB-NIT Month Ahead Index (7A),2018-12-01,2018-12-31 23:59:59,2019-01-01,2019-01-31,1.6094,CAD,31,49786000,1606000,GJ,,,614,2019-01-01 02:15:14,Index,Settled
2019-02-01,ICE NGX AB-NIT Month Ahead Index (7A),2019-01-01,2019-01-31 23:59:59,2019-02-01,2019-02-28,1.8525,CAD,28,49196000,1757000,GJ,,,641,2019-02-01 02:15:27,Index,Settled
2019-03-01,ICE NGX AB-NIT Month Ahead Index (7A),2019-02-01,2019-02-28 23:59:59,2019-03-01,2019-03-31,2.067,CAD,31,58642700,1891700,GJ,,,628,2019-03-01 02:15:36,Index,Settled
2019-04-01,ICE NGX AB-NIT Month Ahead Index (7A),2019-03-01,2019-03-31 23:59:59,2019-04-01,2019-04-30,1.3748,CAD,30,26427000,880900,GJ,,,281,2019-04-01 02:15:23,Index,Settled
2019-05-01,ICE NGX AB-NIT Month Ahead Index (7A),2019-04-01,2019-04-30 23:59:59,2019-05-01,2019-05-31,1.0899,CAD,31,28575800,921800,GJ,,,316,2019-05-01 02:15:32,Index,Settled
2019-06-01,ICE NGX AB-NIT Month Ahead Index (7A),2019-05-01,2019-05-31 23:59:59,2019-06-01,2019-06-30,0.8628,CAD,30,29289000,976300,GJ,,,343,2019-06-01 02:16:02,Index,Settled
2019-07-01,ICE NGX AB-NIT Month Ahead Index (7A),2019-06-01,2019-06-30 23:59:59,2019-07-01,2019-07-31,0.6602,CAD,31,22580400,728400,GJ,,,305,2019-07-01 06:43:09,Index,Settled
2019-08-01,ICE NGX AB-NIT Month Ahead Index (7A),2019-07-01,2019-07-31 23:59:59,2019-08-01,2019-08-31,1.1208,CAD,31,26275600,847600,GJ,,,287,2019-08-01 02:15:29,Index,Settled
2019-09-01,ICE NGX AB-NIT Month Ahead Index (7A),2019-08-01,2019-08-31 23:59:59,2019-09-01,2019-09-30,1.1856,CAD,30,40809000,1360300,GJ,,,486,2019-09-01 02:15:02,Index,Settled
2019-10-01,ICE NGX AB-NIT Month Ahead Index (7A),2019-09-01,2019-09-30 23:59:59,2019-10-01,2019-10-31,1.664,CAD,31,48480900,1563900,GJ,,,532,2019-10-01 02:15:35,Index,Settled
2019-11-01,ICE NGX AB-NIT Month Ahead Index (7A),2019-10-01,2019-10-31 23:59:59,2019-11-01,2019-11-30,2.3259,CAD,30,42099000,1403300,GJ,,,502,2019-11-01 02:15:37,Index,Settled
2019-12-01,ICE NGX AB-NIT Month Ahead Index (7A),2019-11-01,2019-11-30 23:59:59,2019-12-01,2019-12-31,2.6503,CAD,31,67459100,2176100,GJ,,,878,2019-12-01 02:15:13,Index,Settled
2020-01-01,ICE NGX AB-NIT Month Ahead Index (7A),2019-12-01,2019-12-31 23:59:59,2020-01-01,2020-01-31,2.2972,CAD,31,38719000,1249000,GJ,,,504,2020-01-01 02:15:34,Index,Settled
2020-02-01,ICE NGX AB-NIT Month Ahead Index (7A),2020-01-01,2020-01-31 23:59:59,2020-02-01,2020-02-29,2.1135,CAD,29,47742700,1646300,GJ,,,668,2020-02-01 02:15:27,Index,Settled
2020-03-01,ICE NGX AB-NIT Month Ahead Index (7A),2020-02-01,2020-02-29 23:59:59,2020-03-01,2020-03-31,1.671,CAD,31,30361400,979400,GJ,,,369,2020-03-01 02:15:21,Index,Settled
2020-04-01,ICE NGX AB-NIT Month Ahead Index (7A),2020-03-01,2020-03-31 23:59:59,2020-04-01,2020-04-30,1.6747,CAD,30,31149000,1038300,GJ,,,387,2020-04-01 02:15:58,Index,Settled
2020-05-01,ICE NGX AB-NIT Month Ahead Index (7A),2020-04-01,2020-04-30 23:59:59,2020-05-01,2020-05-31,1.7896,CAD,31,43142700,1391700,GJ,,,498,2020-05-01 02:15:19,Index,Settled
2020-06-01,ICE NGX AB-NIT Month Ahead Index (7A),2020-05-01,2020-05-31 23:59:59,2020-06-01,2020-06-30,1.9748,CAD,30,37077000,1235900,GJ,,,456,2020-06-01 02:15:13,Index,Settled
2020-07-01,ICE NGX AB-NIT Month Ahead Index (7A),2020-06-01,2020-06-30 23:59:59,2020-07-01,2020-07-31,1.7937,CAD,31,25764100,831100,GJ,,,339,2020-07-01 02:15:16,Index,Settled
2020-08-01,ICE NGX AB-NIT Month Ahead Index (7A),2020-07-01,2020-07-31 23:59:59,2020-08-01,2020-08-31,1.8852,CAD,31,35048600,1130600,GJ,,,442,2020-08-01 02:15:03,Index,Settled
2020-09-01,ICE NGX AB-NIT Month Ahead Index (7A),2020-08-01,2020-08-31 23:59:59,2020-09-01,2020-09-30,2.4298,CAD,30,34221000,1140700,GJ,,,423,2020-09-01 02:15:16,Index,Settled
2020-10-01,ICE NGX AB-NIT Month Ahead Index (7A),2020-09-01,2020-09-30 23:59:59,2020-10-01,2020-10-31,2.1905,CAD,31,39029000,1259000,GJ,,,505,2020-10-01 02:15:13,Index,Settled
2020-11-01,ICE NGX AB-NIT Month Ahead Index (7A),2020-10-01,2020-10-31 23:59:59,2020-11-01,2020-11-30,2.9315,CAD,30,50784000,1692800,GJ,,,607,2020-11-01 02:15:01,Index,Settled
2020-12-01,ICE NGX AB-NIT Month Ahead Index (7A),2020-11-01,2020-11-30 23:59:59,2020-12-01,2020-12-31,2.7417,CAD,31,37435600,1207600,GJ,,,517,2020-12-01 02:15:16,Index,Settled
2021-01-01,ICE NGX AB-NIT Month Ahead Index (7A),2020-12-01,2020-12-31 23:59:59,2021-01-01,2021-01-31,2.4974,CAD,31,48831200,1575200,GJ,,,523,2021-01-01 02:15:03,Index,Settled
2021-02-01,ICE NGX AB-NIT Month Ahead Index (7A),2021-01-01,2021-01-31 23:59:59,2021-02-01,2021-02-28,2.772,CAD,28,47880000,1710000,GJ,,,557,2021-02-01 02:15:09,Index,Settled
2021-03-01,ICE NGX AB-NIT Month Ahead Index (7A),2021-02-01,2021-02-28 23:59:59,2021-03-01,2021-03-31,3.0538,CAD,31,42513400,1371400,GJ,,,509,2021-03-01 02:15:09,Index,Settled
2021-04-01,ICE NGX AB-NIT Month Ahead Index (7A),2021-03-01,2021-03-31 23:59:59,2021-04-01,2021-04-30,2.5403,CAD,30,31725000,1057500,GJ,,,426,2021-04-01 02:15:11,Index,Settled
2021-05-01,ICE NGX AB-NIT Month Ahead Index (7A),2021-04-01,2021-04-30 23:59:59,2021-05-01,2021-05-31,2.6725,CAD,31,40932400,1320400,GJ,,,471,2021-05-01 02:15:03,Index,Settled
2021-06-01,ICE NGX AB-NIT Month Ahead Index (7A),2021-05-01,2021-05-31 23:59:59,2021-06-01,2021-06-30,2.8872,CAD,30,32067000,1068900,GJ,,,346,2021-06-01 02:15:08,Index,Settled
2021-07-01,ICE NGX AB-NIT Month Ahead Index (7A),2021-06-01,2021-06-30 23:59:59,2021-07-01,2021-07-31,3.2509,CAD,31,47070400,1518400,GJ,,,513,2021-07-01 02:15:15,Index,Settled
2021-08-01,ICE NGX AB-NIT Month Ahead Index (7A),2021-07-01,2021-07-31 23:59:59,2021-08-01,2021-08-31,3.3225,CAD,31,25953200,837200,GJ,,,295,2021-08-01 02:15:01,Index,Settled
2021-09-01,ICE NGX AB-NIT Month Ahead Index (7A),2021-08-01,2021-08-31 23:59:59,2021-09-01,2021-09-30,3.5018,CAD,30,33540000,1118000,GJ,,,353,2021-09-01 02:15:13,Index,Settled
2021-10-01,ICE NGX AB-NIT Month Ahead Index (7A),2021-09-01,2021-09-30 23:59:59,2021-10-01,2021-10-31,3.8978,CAD,31,43998300,1419300,GJ,,,507,2021-10-01 02:15:11,Index,Settled
2021-11-01,ICE NGX AB-NIT Month Ahead Index (7A),2021-10-01,2021-10-31 23:59:59,2021-11-01,2021-11-30,5.395,CAD,30,58617000,1953900,GJ,,,722,2021-11-01 02:15:10,Index,Settled
2021-12-01,ICE NGX AB-NIT Month Ahead Index (7A),2021-11-01,2021-11-30 23:59:59,2021-12-01,2021-12-31,4.7548,CAD,31,45117400,1455400,GJ,,,637,2021-12-01 02:15:18,Index,Settled
2022-01-01,ICE NGX AB-NIT Month Ahead Index (7A),2021-12-01,2021-12-31 23:59:59,2022-01-01,2022-01-31,4.0953,CAD,31,75404400,2432400,GJ,,,803,2022-01-01 02:15:01,Index,Settled
2022-02-01,ICE NGX AB-NIT Month Ahead Index (7A),2022-01-01,2022-01-31 23:59:59,2022-02-01,2022-02-28,4.4592,CAD,28,59564400,2127300,GJ,,,803,2022-02-01 02:15:19,Index,Settled
2022-03-01,ICE NGX AB-NIT Month Ahead Index (7A),2022-02-01,2022-02-28 23:59:59,2022-03-01,2022-03-31,4.4929,CAD,31,61407900,1980900,GJ,,,754,2022-03-01 02:15:21,Index,Settled
2022-04-01,ICE NGX AB-NIT Month Ahead Index (7A),2022-03-01,2022-03-31 23:59:59,2022-04-01,2022-04-30,4.5557,CAD,30,41616000,1387200,GJ,,,533,2022-04-01 02:15:14,Index,Settled
2022-05-01,ICE NGX AB-NIT Month Ahead Index (7A),2022-04-01,2022-04-30 23:59:59,2022-05-01,2022-05-31,5.9098,CAD,31,49407800,1593800,GJ,,,531,2022-05-01 02:15:02,Index,Settled
2022-06-01,ICE NGX AB-NIT Month Ahead Index (7A),2022-05-01,2022-05-31 23:59:59,2022-06-01,2022-06-30,7.3744,CAD,30,43695000,1456500,GJ,,,469,2022-06-01 02:15:22,Index,Settled
2022-07-01,ICE NGX AB-NIT Month Ahead Index (7A),2022-06-01,2022-06-30 23:59:59,2022-07-01,2022-07-31,6.8341,CAD,31,31607600,1019600,GJ,,,394,2022-07-01 02:15:04,Index,Settled
2022-08-01,ICE NGX AB-NIT Month Ahead Index (7A),2022-07-01,2022-07-31 23:59:59,2022-08-01,2022-08-31,5.0339,CAD,31,18178400,586400,GJ,,,215,2022-08-01 02:15:01,Index,Settled
2022-09-01,ICE NGX AB-NIT Month Ahead Index (7A),2022-08-01,2022-08-31 23:59:59,2022-09-01,2022-09-30,4.6399,CAD,30,33444000,1114800,GJ,,,419,2022-09-01 02:15:15,Index,Settled
2022-10-01,ICE NGX AB-NIT Month Ahead Index (7A),2022-09-01,2022-09-30 23:59:59,2022-10-01,2022-10-31,4.4138,CAD,31,31663400,1021400,GJ,,,407,2022-10-01 02:15:03,Index,Settled
2022-11-01,ICE NGX AB-NIT Month Ahead Index (7A),2022-10-01,2022-10-31 23:59:59,2022-11-01,2022-11-30,5.3786,CAD,30,44640000,1488000,GJ,,,571,2022-11-01 02:15:15,Index,Settled
2022-12-01,ICE NGX AB-NIT Month Ahead Index (7A),2022-11-01,2022-11-30 23:59:59,2022-12-01,2022-12-31,6.0743,CAD,31,68327100,2204100,GJ,,,861,2022-12-01 02:15:17,Index,Settled
2023-01-01,ICE NGX AB-NIT Month Ahead Index (7A),2022-12-01,2022-12-31 23:59:59,2023-01-01,2023-01-31,5.7717,CAD,31,33182400,1070400,GJ,,,500,2023-01-01 02:15:01,Index,Settled
2023-02-01,ICE NGX AB-NIT Month Ahead Index (7A),2023-01-01,2023-01-31 23:59:59,2023-02-01,2023-02-28,3.9058,CAD,28,34059200,1216400,GJ,,,566,2023-02-01 02:15:24,Index,Settled
2023-03-01,ICE NGX AB-NIT Month Ahead Index (7A),2023-02-01,2023-02-28 23:59:59,2023-03-01,2023-03-31,2.6728,CAD,31,41363300,1334300,GJ,,,561,2023-03-01 02:15:24,Index,Settled
2023-04-01,ICE NGX AB-NIT Month Ahead Index (7A),2023-03-01,2023-03-31 23:59:59,2023-04-01,2023-04-30,2.6241,CAD,30,34818000,1160600,GJ,,,425,2023-04-01 02:15:04,Index,Settled
2023-05-01,ICE NGX AB-NIT Month Ahead Index (7A),2023-04-01,2023-04-30 23:59:59,2023-05-01,2023-05-31,2.0412,CAD,31,35042400,1130400,GJ,,,422,2023-05-01 02:15:17,Index,Settled
2023-06-01,ICE NGX AB-NIT Month Ahead Index (7A),2023-05-01,2023-05-31 23:59:59,2023-06-01,2023-06-30,2.0059,CAD,30,45234000,1507800,GJ,,,526,2023-06-01 02:15:23,Index,Settled
2023-07-01,ICE NGX AB-NIT Month Ahead Index (7A),2023-06-01,2023-06-30 23:59:59,2023-07-01,2023-07-31,1.8735,CAD,31,38517500,1242500,GJ,,,460,2023-07-01 02:15:06,Index,Settled
2023-08-01,ICE NGX AB-NIT Month Ahead Index (7A),2023-07-01,2023-07-31 23:59:59,2023-08-01,2023-08-31,2.3528,CAD,31,21951100,708100,GJ,,,273,2023-08-01 02:15:24,Index,Settled
2023-09-01,ICE NGX AB-NIT Month Ahead Index (7A),2023-08-01,2023-08-31 23:59:59,2023-09-01,2023-09-30,2.5574,CAD,30,26781000,892700,GJ,,,342,2023-09-01 02:15:16,Index,Settled
2023-10-01,ICE NGX AB-NIT Month Ahead Index (7A),2023-09-01,2023-09-30 23:59:59,2023-10-01,2023-10-31,2.327,CAD,31,31691300,1022300,GJ,,,376,2023-10-06 12:51:38,Index,Settled
2023-11-01,ICE NGX AB-NIT Month Ahead Index (7A),2023-10-01,2023-10-31 23:59:59,2023-11-01,2023-11-30,2.6045,CAD,30,50253000,1675100,GJ,,,600,2023-11-01 02:15:23,Index,Settled
2023-12-01,ICE NGX AB-NIT Month Ahead Index (7A),2023-11-01,2023-11-30 23:59:59,2023-12-01,2023-12-31,2.6216,CAD,31,48174000,1554000,GJ,,,546,2023-12-01 02:15:17,Index,Settled
2024-01-01,ICE NGX AB-NIT Month Ahead Index (7A),2023-12-01,2023-12-31 23:59:59,2024-01-01,2024-01-31,1.9859,CAD,31,43892900,1415900,GJ,,,450,2024-01-01 02:15:04,Index,Settled
2024-02-01,ICE NGX AB-NIT Month Ahead Index (7A),2024-01-01,2024-01-31 23:59:59,2024-02-01,2024-02-29,2.2039,CAD,29,52875700,1823300,GJ,,,636,2024-02-01 02:15:35,Index,Settled
